,city_trgt_label_enc,Age_bucket_label_enc,sex_label_enc,social_class_label_enc,primary_busn_label_enc,secondary_business_label_enc,annual_income_bucket_label_enc,monthly_expenses_bucket_label_enc,old_dependents,young_dependents,home_ownership,type_of_house_label_enc,occupants_count,house_area_bucket_label_enc,sanitary_availability,water_availabity,loan_purpose_label_enc,loan_tenure_bucket_label_enc,loan_installments_bucket_label_enc
34098,3,0,0,1,13,0,4,1,0,2,1.0,1,4,1,0.0,0.5,21,0,0
15892,12,1,0,3,4,0,3,0,0,0,1.0,3,1,1,0.0,1.0,14,0,1
17526,7,1,0,3,4,0,4,1,0,1,1.0,1,2,1,1.0,1.0,14,0,1
25602,9,0,0,1,10,2,3,1,0,1,1.0,1,3,1,1.0,1.0,17,0,1
23932,9,1,0,3,12,0,3,1,0,2,1.0,2,4,1,1.0,1.0,28,0,1
35335,3,1,0,1,20,0,3,1,0,2,1.0,3,5,1,0.0,0.5,2,0,0
8849,11,1,0,4,24,0,0,1,0,0,1.0,2,0,0,0.0,0.0,1,0,1
8227,11,1,0,4,13,0,0,1,0,0,1.0,2,0,0,0.0,0.0,21,0,1
37018,11,1,0,3,14,0,3,1,0,2,1.0,3,2,1,0.0,0.5,1,0,0
6128,8,1,0,1,22,0,1,1,0,2,1.0,2,4,1,1.0,0.5,21,0,1
10013,11,1,0,4,13,0,0,1,0,0,1.0,2,0,0,0.0,0.0,21,0,1
19982,7,1,0,3,20,0,4,1,0,1,1.0,2,2,1,1.0,1.0,28,0,1
2657,11,1,0,3,20,4,4,1,0,2,0.0,2,4,1,1.0,0.5,19,0,0
8307,11,0,0,4,27,0,0,1,0,0,1.0,3,0,0,0.0,0.0,3,0,0
542,11,1,0,3,20,0,4,1,0,2,1.0,1,5,1,1.0,0.5,18,0,0
21899,5,1,0,3,32,0,3,0,0,2,1.0,3,4,2,1.0,0.5,3,0,0
1059,11,1,0,4,20,0,5,1,0,2,1.0,1,3,1,1.0,0.5,3,0,0
7937,11,1,0,4,13,0,0,1,0,0,1.0,2,0,0,0.0,0.0,21,0,1
37948,1,1,0,1,6,0,3,0,0,1,1.0,3,2,1,0.0,0.5,2,0,0
9516,8,1,0,4,24,0,0,1,0,0,1.0,3,0,0,0.0,0.0,1,0,1
39050,14,0,0,3,29,0,3,1,0,0,1.0,3,2,2,0.0,0.5,14,0,0
29504,1,1,0,1,13,0,4,1,0,2,1.0,3,2,1,0.0,0.5,21,0,0
7078,9,1,0,3,6,0,4,1,0,2,1.0,3,4,1,1.0,0.5,2,0,1
2443,11,1,0,4,13,0,5,1,0,1,1.0,2,3,1,1.0,0.5,21,0,1
24586,11,0,0,2,20,0,1,0,0,1,1.0,3,2,1,1.0,1.0,27,0,0
22501,11,1,0,1,20,0,3,1,0,0,1.0,2,3,2,0.0,1.0,1,0,0
22172,18,1,0,2,15,0,2,1,0,2,1.0,2,4,1,1.0,1.0,17,0,1
14438,11,1,0,1,13,1,4,1,0,2,1.0,3,2,1,0.0,0.5,21,0,0
20763,7,0,0,1,6,0,4,1,0,0,1.0,2,2,1,1.0,1.0,2,0,1
16792,7,1,0,1,6,0,4,1,0,0,1.0,2,2,1,1.0,1.0,2,0,1
24418,13,1,0,2,0,0,5,1,0,2,1.0,3,5,1,0.0,1.0,13,0,0
32641,11,1,0,1,20,0,4,0,1,0,1.0,3,3,2,1.0,0.5,17,0,0
9921,10,1,0,4,29,0,0,1,0,0,1.0,2,0,0,1.0,0.0,14,0,0
23718,18,0,0,1,20,0,3,1,0,1,1.0,1,3,2,1.0,1.0,28,0,1
16680,18,1,0,2,15,0,3,1,0,2,1.0,2,4,1,1.0,1.0,17,0,1
25712,18,0,0,1,15,0,3,1,0,1,1.0,2,3,2,1.0,0.5,17,0,1
1597,8,1,0,0,15,0,4,1,0,1,1.0,2,2,1,1.0,0.5,17,0,1
