product,date,city,sales
Mixers,01-01-2016,Kolkata,4510306
Mixers,02-01-2016,Kolkata,4563475
Mixers,03-01-2016,Kolkata,8524608
Mixers,04-01-2016,Kolkata,7022955
Mixers,05-01-2016,Kolkata,4303617
Mixers,06-01-2016,Kolkata,2427975
Mixers,07-01-2016,Kolkata,4558309
Mixers,08-01-2016,Kolkata,4912451
Mixers,09-01-2016,Kolkata,6258320
Mixers,10-01-2016,Kolkata,6369809
Mixers,11-01-2016,Kolkata,2689766
Mixers,12-01-2016,Kolkata,3558191
Mixers,01-01-2017,Kolkata,4806726
Mixers,02-01-2017,Kolkata,4452768
Mixers,03-01-2017,Kolkata,6930969
Mixers,04-01-2017,Kolkata,3574460
Mixers,05-01-2017,Kolkata,7026022
Mixers,06-01-2017,Kolkata,5965564
Mixers,07-01-2017,Kolkata,9066698
Mixers,08-01-2017,Kolkata,10706348
Mixers,09-01-2017,Kolkata,11975120
Mixers,10-01-2017,Kolkata,12775606
Mixers,11-01-2017,Kolkata,4267787
Mixers,12-01-2017,Kolkata,7081682
Mixers,01-01-2018,Kolkata,10295642
Mixers,02-01-2018,Kolkata,3854902
Mixers,03-01-2018,Kolkata,6371632
Induction cookers,04-01-2014,Kolkata,766356
Induction cookers,05-01-2014,Kolkata,1105370
Induction cookers,06-01-2014,Kolkata,838809
Induction cookers,07-01-2014,Kolkata,1059349
Induction cookers,08-01-2014,Kolkata,1124367
Induction cookers,09-01-2014,Kolkata,1337735
Induction cookers,10-01-2014,Kolkata,1238958
Induction cookers,11-01-2014,Kolkata,624884
Induction cookers,12-01-2014,Kolkata,1181814
Induction cookers,01-01-2015,Kolkata,1156666
Induction cookers,02-01-2015,Kolkata,937266
Induction cookers,03-01-2015,Kolkata,1442647
Induction cookers,04-01-2015,Kolkata,781453
Induction cookers,05-01-2015,Kolkata,932523
Induction cookers,06-01-2015,Kolkata,521354
Induction cookers,07-01-2015,Kolkata,848744
Induction cookers,08-01-2015,Kolkata,799430
Induction cookers,09-01-2015,Kolkata,820187
Induction cookers,10-01-2015,Kolkata,1167810
Induction cookers,11-01-2015,Kolkata,633387
Induction cookers,12-01-2015,Kolkata,927108
Induction cookers,01-01-2016,Kolkata,696079
Induction cookers,02-01-2016,Kolkata,704284
Induction cookers,03-01-2016,Kolkata,1315608
Induction cookers,04-01-2016,Kolkata,894414
Induction cookers,05-01-2016,Kolkata,548090
Induction cookers,06-01-2016,Kolkata,309217
Induction cookers,07-01-2016,Kolkata,580527
Induction cookers,08-01-2016,Kolkata,625629
Induction cookers,09-01-2016,Kolkata,797033
Induction cookers,10-01-2016,Kolkata,811232
Induction cookers,11-01-2016,Kolkata,342557
Induction cookers,12-01-2016,Kolkata,453156
Induction cookers,01-01-2017,Kolkata,612164
Induction cookers,02-01-2017,Kolkata,567086
Induction cookers,03-01-2017,Kolkata,882699
Induction cookers,04-01-2017,Kolkata,1140471
Induction cookers,05-01-2017,Kolkata,1785004
Induction cookers,06-01-2017,Kolkata,1568772
Induction cookers,07-01-2017,Kolkata,2789602
Induction cookers,08-01-2017,Kolkata,2432108
Induction cookers,09-01-2017,Kolkata,2915207
Induction cookers,10-01-2017,Kolkata,3218166
Induction cookers,11-01-2017,Kolkata,1499318
Induction cookers,12-01-2017,Kolkata,2169421
Induction cookers,01-01-2018,Kolkata,1981625
Induction cookers,02-01-2018,Kolkata,1509632
Induction cookers,03-01-2018,Kolkata,2032289
Dry Iron,04-01-2014,Kolkata,333375
Dry Iron,05-01-2014,Kolkata,480851
Dry Iron,06-01-2014,Kolkata,364893
Dry Iron,07-01-2014,Kolkata,460831
Dry Iron,08-01-2014,Kolkata,489115
Dry Iron,09-01-2014,Kolkata,581932
Dry Iron,10-01-2014,Kolkata,538963
Dry Iron,11-01-2014,Kolkata,271833
Dry Iron,12-01-2014,Kolkata,514105
Dry Iron,01-01-2015,Kolkata,503165
Dry Iron,02-01-2015,Kolkata,407723
Dry Iron,03-01-2015,Kolkata,627571
Dry Iron,04-01-2015,Kolkata,296436
Dry Iron,05-01-2015,Kolkata,353742
Dry Iron,06-01-2015,Kolkata,197770
Dry Iron,07-01-2015,Kolkata,321962
Dry Iron,08-01-2015,Kolkata,303255
Dry Iron,09-01-2015,Kolkata,311129
Dry Iron,10-01-2015,Kolkata,442996
Dry Iron,11-01-2015,Kolkata,240268
Dry Iron,12-01-2015,Kolkata,351688
Dry Iron,01-01-2016,Kolkata,264050
Dry Iron,02-01-2016,Kolkata,267163
Dry Iron,03-01-2016,Kolkata,499062
Dry Iron,04-01-2016,Kolkata,625321
Dry Iron,05-01-2016,Kolkata,383192
