Country,Year,Life Ladder,Log GDP,Social support,Life Expectancy,Choice Freedom,Generosity,Corruption,Positive affect,Negative affect,Government confidence,Population
Guatemala,2019,6.2621750831604,9.065696716308594,0.774074375629425,62.29999923706055,0.9006763100624084,-0.06337733566761017,0.7725779414176941,0.8196608424186707,0.3107892572879791,0.45700132846832275,16604026
Guinea,2015,3.5046935081481934,7.643930912017822,0.5788596272468567,51.5,0.6659530401229858,0.0069955396465957165,0.7621520161628723,0.6581036448478699,0.26774123311042786,0.6102877855300903,11432096
Guinea,2016,3.6028547286987305,7.7202301025390625,0.6754470467567444,51.95000076293945,0.725685179233551,-0.05593648925423622,0.8027811646461487,0.6761224865913391,0.3743937909603119,0.4656958281993866,11738434
Guinea,2017,4.873722553253174,7.790615081787109,0.6340255737304688,52.400001525878906,0.7382128238677979,0.03815793991088867,0.7500262260437012,0.7017887234687805,0.4224608838558197,0.6399807929992676,12067516
Guinea,2018,5.252226829528809,7.8239288330078125,0.6304331421852112,52.849998474121094,0.7311572432518005,0.09221915900707245,0.7783938050270081,0.7272707223892212,0.44043830037117004,0.5917237401008606,12414292
Guinea,2019,4.767684459686279,7.85050630569458,0.6551241874694824,53.29999923706055,0.691399097442627,0.09692969918251038,0.7555854916572571,0.6695582866668701,0.4733884334564209,0.579256534576416,12771246
Haiti,2015,3.5697624683380127,8.039913177490234,0.5643196702003479,54.599998474121094,0.39829549193382263,0.26566770672798157,0.7774039506912231,0.5975968241691589,0.3325396776199341,0.2971181273460388,10695540
Haiti,2016,3.3523001670837402,8.044462203979492,0.5837424397468567,54.900001525878906,0.3035404086112976,0.2507915794849396,0.8385231494903564,0.5322052836418152,0.367341011762619,0.1460646241903305,10839976
Haiti,2017,3.8238656520843506,8.056204795837402,0.6469849944114685,55.20000076293945,0.48442915081977844,0.3395269513130188,0.64719158411026,0.570106565952301,0.3216927647590637,0.4350769519805908,10982367
Haiti,2018,3.6149280071258545,8.060004234313965,0.5379759073257446,55.5,0.5914683938026428,0.37991806864738464,0.7204447388648987,0.5806729793548584,0.3587200343608856,0.3678966462612152,11123183
Honduras,2015,4.8454365730285645,8.572328567504883,0.7723755240440369,61.29999923706055,0.5340576767921448,-0.09730571508407593,0.8480827212333679,0.8293653726577759,0.31076616048812866,0.2969626486301422,9112904
Honduras,2016,5.6481547355651855,8.593341827392578,0.7739099860191345,61.724998474121094,0.850046694278717,0.0795159712433815,0.7928751707077026,0.7900410890579224,0.2968466877937317,0.3892745077610016,9270794
Honduras,2017,6.019985675811768,8.623712539672852,0.8433549404144287,62.150001525878906,0.8983774185180664,0.07160672545433044,0.7834294438362122,0.7961581349372864,0.24838334321975708,0.49558502435684204,9429016
Honduras,2018,5.908423900604248,8.644770622253418,0.8270670175552368,62.57500076293945,0.8721616864204407,0.09855878353118896,0.8035647869110107,0.8218622803688049,0.287357896566391,0.3989136815071106,9587523
Honduras,2019,5.930051326751709,8.654548645019531,0.7971483469009399,63.0,0.8461900353431702,0.06204812973737717,0.8149629235267639,0.7890506982803345,0.27888208627700806,0.3580971956253052,9746115
Hungary,2015,5.344383239746094,10.223091125488281,0.8587338328361511,66.5999984741211,0.5577213764190674,-0.19982732832431793,0.9075303077697754,0.649912416934967,0.2445363849401474,0.2792119085788727,9843028
Hungary,2016,5.448901653289795,10.247725486755371,0.8995115756988525,66.75,0.5539517402648926,-0.18889077007770538,0.9241858124732971,0.5899617075920105,0.24332576990127563,0.30377233028411865,9814023
Hungary,2017,6.065038681030273,10.292183876037598,0.8767475485801697,66.9000015258789,0.6611659526824951,-0.14134514331817627,0.886361300945282,0.6436054706573486,0.180921271443367,0.3777705132961273,9787966
Hungary,2018,5.9357709884643555,10.345659255981445,0.9405913949012756,67.05000305175781,0.6926270723342896,-0.24488133192062378,0.9112774133682251,0.5946771502494812,0.20108288526535034,0.3880440294742584,9775564
Hungary,2019,6.000259876251221,10.390645980834961,0.9465155601501465,67.19999694824219,0.798041045665741,-0.19693893194198608,0.883571445941925,0.6528927683830261,0.18034812808036804,0.4839341938495636,9771141
Iceland,2015,7.49807071685791,10.861743927001953,0.9802832007408142,71.9000015258789,0.9404851198196411,0.29755982756614685,0.638661801815033,0.7942911386489868,0.17950443923473358,0.4272281229496002,330815
Iceland,2016,7.510034561157227,10.908992767333984,0.9849400520324707,71.92500305175781,0.9516095519065857,0.2778005301952362,0.7192995548248291,0.807857871055603,0.15816916525363922,0.36351829767227173,335439
Iceland,2017,7.4762139320373535,10.926630973815918,0.966752827167511,71.94999694824219,0.9387832880020142,0.24298177659511566,0.726845383644104,0.8232097625732422,0.14816001057624817,0.36504194140434265,343400
India,2015,4.342079162597656,8.606008529663086,0.6101332902908325,59.099998474121094,0.7772252559661865,-0.0057907430455088615,0.7764349579811096,0.6572009325027466,0.3218294382095337,0.69471675157547,1310152392
India,2016,4.179177284240723,8.67443561553955,0.6135293841362,59.400001525878906,0.8200687766075134,0.045201633125543594,0.7647221088409424,0.645889163017273,0.34568145871162415,0.7321045994758606,1324517250
India,2017,4.046111106872559,8.729546546936035,0.606767475605011,59.70000076293945,0.8858504295349121,-0.04242167994379997,0.7808027863502502,0.5788310766220093,0.3179367780685425,0.8392783999443054,1338676779
India,2018,3.818068742752075,8.782452583312988,0.6380519866943359,60.0,0.8904433846473694,0.08380115032196045,0.805263340473175,0.5905601978302002,0.35745808482170105,0.7532808780670166,1352642283
India,2019,3.248769760131836,8.81194019317627,0.5607807636260986,60.29999923706055,0.8755403161048889,0.1115008145570755,0.751979410648346,0.5604031682014465,0.46633562445640564,0.7897033095359802,1366417756
Indonesia,2015,5.042799949645996,9.225190162658691,0.8094781041145325,62.29999923706055,0.7794183492660522,0.47023648023605347,0.9459672570228577,0.7962190508842468,0.2742922008037567,0.6451851725578308,258383257
